id	metric	hemi	aggregate	dat_cau	dat_put
0	lncc	R	sum	20.40092658996582	0.0
0	lncc	R	std	0.03419991955161095	0.0
0	lncc	R	mean	0.005640289280563593	0.0
0	lncc	R	min	0.0	0.0
0	lncc	R	max	0.4890402853488922	0.0
0	lncc	L	sum	1115.41064453125	954.5286254882812
0	lncc	L	std	0.23445703089237213	0.19080403447151184
0	lncc	L	mean	0.32633429765701294	0.17911964654922485
0	lncc	L	min	1.660107614043227e-06	0.0
0	lncc	L	max	0.8722037672996521	0.8124533891677856
0	lncc	Both	sum	1135.8116455078125	954.528564453125
0	lncc	Both	std	0.23021626472473145	0.16399148106575012
0	lncc	Both	mean	0.1614515483379364	0.09290719777345657
0	lncc	Both	min	0.0	0.0
0	lncc	Both	max	0.8722037672996521	0.8124533891677856
0	l2	R	sum	9535.24609375	10839.1640625
0	l2	R	std	0.9173855781555176	0.5572412014007568
0	l2	R	mean	2.636230707168579	2.191944122314453
0	l2	R	min	0.9823997020721436	1.5068007707595825
0	l2	R	max	4.713533878326416	4.367937088012695
0	l2	L	sum	4937.7275390625	5998.9462890625
0	l2	L	std	0.798470139503479	0.7341469526290894
0	l2	L	mean	1.4446247816085815	1.125717043876648
0	l2	L	min	0.0018246173858642578	8.165836334228516e-05
0	l2	L	max	3.1549072265625	3.138962745666504
0	l2	Both	sum	14472.97265625	16838.111328125
0	l2	Both	std	1.0474531650543213	0.8442910313606262
0	l2	Both	mean	2.057281017303467	1.6389051675796509
0	l2	Both	min	0.0018246173858642578	8.165836334228516e-05
0	l2	Both	max	4.713533878326416	4.367937088012695
