id	processing	hemi	aggregate	loss	dat_str	dat_cau	dat_put	dat_occ
0	raw	R	sum	0.31907401164448074	108635816.0	50841676.0	57794144.0	184651584.0
0	raw	R	mean	0.31907401164448074	12688.1357421875	14056.310546875	11687.3896484375	5734.87744140625
0	raw	R	median	0.31907401164448074	11615.443359375	13519.228515625	10724.00390625	5701.099609375
0	raw	R	std	0.31907401164448074	4071.307373046875	4891.4755859375	2971.195556640625	1213.3489990234375
0	raw	R	p10	0.31907401164448074	8738.806640625	7564.40087890625	8928.580078125	4232.83740234375
0	raw	R	p30	0.31907401164448074	9854.236328125	10993.17578125	9562.1416015625	5186.234375
0	raw	R	p70	0.31907401164448074	14094.2353515625	16601.560546875	12472.76953125	6307.81005859375
0	raw	L	sum	0.31907401164448074	114431864.0	45248736.0	69183128.0	175719552.0
0	raw	L	mean	0.31907401164448074	13082.4130859375	13238.3662109375	12982.384765625	5633.662109375
0	raw	L	median	0.31907401164448074	12344.71484375	13029.22265625	11910.02734375	5718.40625
0	raw	L	std	0.31907401164448074	3753.71142578125	3728.741455078125	3766.2421875	1171.9256591796875
0	raw	L	p10	0.31907401164448074	8438.994140625	7755.521484375	8760.333984375	3900.62890625
0	raw	L	p30	0.31907401164448074	10660.791015625	11143.5927734375	10457.783203125	5172.86572265625
0	raw	L	p70	0.31907401164448074	15059.841796875	15365.58203125	14718.4189453125	6322.0048828125
0	raw	Both	sum	0.31907401164448074	223067680.0	96090408.0	126977264.0	360371136.0
0	raw	Both	mean	0.31907401164448074	12887.380859375	13658.90625	12359.087890625	5685.07373046875
0	raw	Both	median	0.31907401164448074	11992.8564453125	13228.931640625	11350.416015625	5709.70556640625
0	raw	Both	std	0.31907401164448074	3918.995361328125	4384.5078125	3467.71728515625	1194.2186279296875
0	raw	Both	p10	0.31907401164448074	8624.7958984375	7682.7353515625	8880.759765625	4054.011962890625
0	raw	Both	p30	0.31907401164448074	10254.919921875	11075.181640625	9930.7880859375	5179.9970703125
0	raw	Both	p70	0.31907401164448074	14586.7060546875	15892.0615234375	13433.22265625	6314.14697265625
