id	metric	hemi	aggregate	dat_cau	dat_put
0	lncc	R	sum	20.425447463989258	0.0
0	lncc	R	std	0.03419558331370354	0.0
0	lncc	R	mean	0.005647068843245506	0.0
0	lncc	R	min	0.0	0.0
0	lncc	R	max	0.4892120063304901	0.0
0	lncc	L	sum	1114.347900390625	953.0394897460938
0	lncc	L	std	0.23486745357513428	0.19054439663887024
0	lncc	L	mean	0.3260233700275421	0.17884020507335663
0	lncc	L	min	8.916737215258763e-08	3.395822290030992e-09
0	lncc	L	max	0.8722517490386963	0.8129816055297852
0	lncc	Both	sum	1134.7733154296875	953.0394287109375
0	lncc	Both	std	0.2303086817264557	0.16375859081745148
0	lncc	Both	mean	0.16130395233631134	0.09276225417852402
0	lncc	Both	min	0.0	0.0
0	lncc	Both	max	0.8722517490386963	0.8129816055297852
0	l2	R	sum	9527.861328125	10849.9013671875
0	l2	R	std	0.9172791242599487	0.5598322749137878
0	l2	R	mean	2.6341888904571533	2.19411563873291
0	l2	R	min	0.9830621480941772	1.5112264156341553
0	l2	R	max	4.712952613830566	4.367130279541016
0	l2	L	sum	4943.697265625	5990.29296875
0	l2	L	std	0.799497663974762	0.7349737286567688
0	l2	L	mean	1.44637131690979	1.1240932941436768
0	l2	L	min	0.0036995410919189453	0.0004938840866088867
0	l2	L	max	3.1559762954711914	3.137040138244629
0	l2	Both	sum	14471.55859375	16840.1953125
0	l2	Both	std	1.0467110872268677	0.8466842770576477
0	l2	Both	mean	2.057080030441284	1.6391079425811768
0	l2	Both	min	0.0036995410919189453	0.0004938840866088867
0	l2	Both	max	4.712952613830566	4.367130279541016
