id	processing	hemi	aggregate	loss	dat_str	dat_cau	dat_put	dat_occ
0	raw	R	sum	0.3186644356876629	108641184.0	50796456.0	57844728.0	188881632.0
0	raw	R	mean	0.3186644356876629	12688.7626953125	14043.80859375	11697.619140625	5556.81298828125
0	raw	R	median	0.3186644356876629	11619.5048828125	13500.25	10727.791015625	5631.8046875
0	raw	R	std	0.3186644356876629	4073.212646484375	4890.34521484375	2984.667236328125	1408.176513671875
0	raw	R	p10	0.3186644356876629	8739.548828125	7559.20751953125	8923.4052734375	3407.98681640625
0	raw	R	p30	0.3186644356876629	9849.2177734375	10984.3994140625	9561.8056640625	5078.2646484375
0	raw	R	p70	0.3186644356876629	14093.943359375	16597.5390625	12485.853515625	6260.14306640625
0	raw	L	sum	0.3186644356876629	114429152.0	45286032.0	69143120.0	179850048.0
0	raw	L	mean	0.3186644356876629	13082.1025390625	13249.2783203125	12974.876953125	5455.45703125
0	raw	L	median	0.3186644356876629	12345.43359375	13041.6201171875	11910.166015625	5637.29443359375
0	raw	L	std	0.3186644356876629	3757.658935546875	3734.879638671875	3768.295166015625	1363.1529541015625
0	raw	L	p10	0.3186644356876629	8427.5576171875	7743.80029296875	8750.3037109375	3232.3154296875
0	raw	L	p30	0.3186644356876629	10666.3134765625	11147.251953125	10452.9150390625	5048.09423828125
0	raw	L	p70	0.3186644356876629	15070.8466796875	15392.8427734375	14703.7880859375	6267.2548828125
0	raw	Both	sum	0.3186644356876629	223070336.0	96082488.0	126987856.0	368731712.0
0	raw	Both	mean	0.3186644356876629	12887.5341796875	13657.78125	12360.1181640625	5506.91064453125
0	raw	Both	median	0.3186644356876629	11993.919921875	13236.2568359375	11349.4443359375	5633.9501953125
0	raw	Both	std	0.3186644356876629	3921.86181640625	4385.322265625	3472.79638671875	1387.11767578125
0	raw	Both	p10	0.3186644356876629	8619.505859375	7679.43505859375	8871.046875	3307.024169921875
0	raw	Both	p30	0.3186644356876629	10252.4189453125	11082.056640625	9925.611328125	5065.72216796875
0	raw	Both	p70	0.3186644356876629	14586.251953125	15896.0224609375	13444.099609375	6264.0400390625
