id	metric	hemi	aggregate	dat_cau	dat_put
0	lncc	R	sum	17.604053497314453	0.0
0	lncc	R	std	0.02960476279258728	0.0
0	lncc	R	mean	0.004867031704634428	0.0
0	lncc	R	min	0.0	0.0
0	lncc	R	max	0.4538441002368927	0.0
0	lncc	L	sum	1306.286376953125	1001.9112548828125
0	lncc	L	std	0.2205146998167038	0.17890259623527527
0	lncc	L	mean	0.38217857480049133	0.18801112473011017
0	lncc	L	min	2.6462066671228968e-06	4.262244779340563e-09
0	lncc	L	max	0.8653509020805359	0.8119986653327942
0	lncc	Both	sum	1323.890380859375	1001.9112548828125
0	lncc	Both	std	0.24421046674251556	0.15945500135421753
0	lncc	Both	mean	0.18818627297878265	0.09751909971237183
0	lncc	Both	min	0.0	0.0
0	lncc	Both	max	0.8653509020805359	0.8119986653327942
0	l2	R	sum	9141.001953125	10549.390625
0	l2	R	std	0.9077937602996826	0.5532016754150391
0	l2	R	mean	2.527233123779297	2.133344888687134
0	l2	R	min	0.9583826661109924	1.4871841669082642
0	l2	R	max	4.689305305480957	4.27188777923584
0	l2	L	sum	4118.3271484375	6730.03173828125
0	l2	L	std	0.6947841644287109	0.7580007314682007
0	l2	L	mean	1.2048938274383545	1.2629070281982422
0	l2	L	min	0.00010609626770019531	0.0004953145980834961
0	l2	L	max	2.8671491146087646	3.1356565952301025
0	l2	Both	sum	13259.328125	17279.421875
0	l2	Both	std	1.04643714427948	0.7965348362922668
0	l2	Both	mean	1.884765863418579	1.6818592548370361
0	l2	Both	min	0.00010609626770019531	0.0004953145980834961
0	l2	Both	max	4.689305305480957	4.27188777923584
