id	processing	hemi	aggregate	loss	dat_str	dat_cau	dat_put	dat_occ
0	raw	R	sum	0.30627195760915277	105633064.0	49038740.0	56594328.0	191527248.0
0	raw	R	mean	0.30627195760915277	12337.4287109375	13557.8486328125	11444.7578125	5403.20068359375
0	raw	R	median	0.30627195760915277	11184.45703125	12803.1181640625	10388.8779296875	5560.08642578125
0	raw	R	std	0.30627195760915277	4024.3779296875	4870.0419921875	2967.76171875	1506.6036376953125
0	raw	R	p10	0.30627195760915277	8583.9443359375	7513.04150390625	8785.2666015625	2879.184326171875
0	raw	R	p30	0.30627195760915277	9525.275390625	10380.1357421875	9351.421875	4978.17626953125
0	raw	R	p70	0.30627195760915277	13608.8076171875	15874.95703125	12172.8544921875	6163.83837890625
0	raw	L	sum	0.30627195760915277	114136624.0	40976624.0	73160000.0	185283680.0
0	raw	L	mean	0.30627195760915277	13048.6591796875	11988.4794921875	13728.654296875	5371.4755859375
0	raw	L	median	0.30627195760915277	12195.6171875	11535.173828125	12773.490234375	5613.3955078125
0	raw	L	std	0.30627195760915277	3781.17822265625	3238.35693359375	3944.355712890625	1475.65234375
0	raw	L	p10	0.30627195760915277	8614.5625	7700.34423828125	9155.29296875	2872.6865234375
0	raw	L	p30	0.30627195760915277	10596.0703125	9977.572265625	10962.0322265625	4991.30078125
0	raw	L	p70	0.30627195760915277	14906.9443359375	13631.341796875	15886.12109375	6248.10107421875
0	raw	Both	sum	0.30627195760915277	219769696.0	90015360.0	129754336.0	376810912.0
0	raw	Both	mean	0.30627195760915277	12696.845703125	12795.3603515625	12629.388671875	5387.55419921875
0	raw	Both	median	0.30627195760915277	11732.744140625	12081.83203125	11543.3994140625	5584.6689453125
0	raw	Both	std	0.30627195760915277	3919.536376953125	4231.37060546875	3689.32958984375	1491.50341796875
0	raw	Both	p10	0.30627195760915277	8593.6923828125	7625.93359375	8866.2744140625	2875.3271484375
0	raw	Both	p30	0.30627195760915277	10012.4228515625	10155.541015625	9936.224609375	4983.1708984375
0	raw	Both	p70	0.30627195760915277	14301.7705078125	14663.7412109375	13990.62109375	6206.626953125
